area_type,availability,location,bath,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Marathahalli,1,Asintas,1710,3,2,100
Super built-up  Area,Ready To Move,JP Nagar,1,Adaveth,1500,2,3,82
Built-up  Area,Ready To Move,Glass Factory Layout,2,VMlet C,1539,3,2,60
Plot  Area,Ready To Move,Fraser town,2,,806,3,1,128
Super built-up  Area,20-Dec,Judicial Layout,1,PrarePa,1100,2,1,53
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1151,2,1,49
Super built-up  Area,Ready To Move,Dasappa Layout,2,,920,2,1,46
Super built-up  Area,Ready To Move,Kathriguppe,1,Prone M,1350,3,3,78.3
Super built-up  Area,Ready To Move,Bannerghatta Road,3,Shissut,1200,2,2,65
Super built-up  Area,Ready To Move,Thanisandra,2,,1265,2,1,78
Plot  Area,Ready To Move,Chelekare,2,,600,6,2,60
Super built-up  Area,18-Apr,Sarjapur  Road,2,PualeSk,1700,3,2,93.5
Built-up  Area,Ready To Move,Ramamurthy Nagar,2,,1600,3,0,75
Built-up  Area,Ready To Move,4th T block Jayanagar,2,,1550,4,1,120
Built-up  Area,Ready To Move,R.T. Nagar,3,SiineSu,1560,3,3,125
Plot  Area,18-Jan,Horamavu Agara,2,,1000,5,3,98
Super built-up  Area,Ready To Move,Haralur Road,2,RInceeg,1243,2,2,46
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,2,,1200,4,1,160
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Arldsyo,1403,3,1,56
Super built-up  Area,Ready To Move,Doddakallasandra,1,,1010,2,1,40.39
Super built-up  Area,Ready To Move,Tumkur Road,4,Sahtsva,1416,3,1,94
Super built-up  Area,Ready To Move,Kanakpura Road,1,,1628,2,2,68
Plot  Area,Ready To Move,Chamrajpet,1,,1660.4,4,2,211
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,Eladero,1680,3,2,125
Super built-up  Area,Ready To Move,Doddathoguru,1,Prora F,1595,3,3,62
Super built-up  Area,Ready To Move,Kanakpura Road,2,Niacesa,1507,2,3,95
Super built-up  Area,Ready To Move,Frazer Town,2,Prook M,2560,3,,288
Super built-up  Area,Ready To Move,Hennur Road,3,SaireSa,1949,3,1,133
Plot  Area,Ready To Move,BTM 2nd Stage,2,,800,2,1,175
Built-up  Area,18-Dec,Electronic City Phase II,1,Sryalan,1000,2,1,28.88
Super built-up  Area,20-Jun,Sonam Layout,2,,905,2,1,50
Super built-up  Area,Ready To Move,Hosakerehalli,1,Taonte ,2480,3,2,245
Super built-up  Area,Ready To Move,CR Layout,1,,1495,3,,200
Super built-up  Area,Ready To Move,Kaikondrahalli,4,,1605,3,3,105
Built-up  Area,Ready To Move,Bommanahalli,1,,1290,2,1,73
Super built-up  Area,Ready To Move,Yelahanka,2,Rarthne,1100,2,1,60
Super built-up  Area,Ready To Move,Vishveshwarya Layout,3,,2100,6,0,92
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,,995,2,1,49.8
Plot  Area,Ready To Move,Banashankari Stage II,2,,500,2,1,55
Super built-up  Area,Ready To Move,Rajaji Nagar,2,PhestOn,3526,4,3,598
Super built-up  Area,Ready To Move,Gottigere,1,Apentir,1425,2,2,47
Super built-up  Area,Ready To Move,BTM 4th Stage,3,,1455,2,2,55
Super built-up  Area,Ready To Move,Jalahalli West,2,Prntsax,550,1,1,23
Super built-up  Area,Ready To Move,Uttarahalli,3,Shony S,1385,2,2,48.48
Plot  Area,Ready To Move,Vishveshwarya Layout,2,,7000,4,,210
Super built-up  Area,Ready To Move,Srinivasa Nagar,1,,4000,3,0,130
Super built-up  Area,18-May,Gollahalli,3,,1060,2,1,53
Super built-up  Area,Ready To Move,AGS Layout,3,,1080,2,2,75
Built-up  Area,Ready To Move,HBR Layout,1,Giersin,1783,3,2,125
Super built-up  Area,18-Mar,Haralur Road,1,SNnia E,1520,2,2,90
Super built-up  Area,Ready To Move,Sarjapur  Road,2,SavanBr,1060,2,1,55
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1267,2,1,54.35
Super built-up  Area,Ready To Move,Whitefield,5,,1155,2,2,55
Built-up  Area,Ready To Move,Karuna Nagar,3,CoinoCu,2500,3,2,180
Super built-up  Area,Ready To Move,Bannerghatta Road,3,MNikaas,1240,2,1,65
Super built-up  Area,Ready To Move,Gollahalli,4,MJlese ,1570,3,2,78
Super built-up  Area,Ready To Move,NGR Layout,1,,1019,2,1,45.9
Super built-up  Area,Ready To Move,Whitefield,2,Veale R,1355,3,3,76
Super built-up  Area,Ready To Move,Arekempanahalli,3,,1537,3,2,110
Super built-up  Area,Ready To Move,Whitefield,2,UKe 2nz,4075,5,3,226
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1550,3,3,52.45
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,Neess P,1100,2,1,50
Super built-up  Area,Ready To Move, Devarabeesana Halli,2,Sorisa ,1750,3,2,150
Super built-up  Area,18-Mar,9th Phase JP Nagar,3,HMigond,1466,2,2,71
Super built-up  Area,Ready To Move,Rachenahalli,2,Sovar S,1550,3,2,72.5
Super built-up  Area,Ready To Move,Akshaya Nagar,3,DLhtsnd,2300,4,3,102
Super built-up  Area,19-Aug,Kengeri,2,VBn 2lm,540,1,1,22.5
Plot  Area,Ready To Move,8th Phase JP Nagar,2,Hincy V,950,3,2,130
Built-up  Area,Ready To Move,Chamundi Nagar,3,,2800,7,1,250
Super built-up  Area,Ready To Move,Silk Board,2,,1020,2,3,48
Super built-up  Area,Ready To Move,Cunningham Road,4,LeDuvMy,2880,3,2,501
Super built-up  Area,Ready To Move,Hebbal,3,Prersis,1987,4,2,165
Super built-up  Area,Ready To Move,Hoodi,3,Keers S,1305,2,1,75
Built-up  Area,Ready To Move,Sarjapur,3,,2100,3,1,125
Built-up  Area,18-Dec,Electronic City,3,,1125,2,1,32.5
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2,,1225,2,2,49.5
Super built-up  Area,Ready To Move,Hennur,3,,1255,2,1,55.5
Super built-up  Area,Ready To Move,MRCR Layout,3,,1191,2,1,90
Plot  Area,Ready To Move,Uttarahalli,4,,3600,6,2,303
Built-up  Area,18-Dec,Electronic City,2,,1165,2,1,33.64
Super built-up  Area,18-Apr,Kacharakanahalli,2,,865,2,1,35.11
Super built-up  Area,Ready To Move,Nagarbhavi,8,,1850,2,2,88
Super built-up  Area,Ready To Move,Marsur,2,Asara S,497,1,1,17
Super built-up  Area,19-Mar,Hennur Road,3,Puachal,1232,2,2,89
Super built-up  Area,21-Nov,Thanisandra,2,Bhe 2ko,1732,3,3,85.73
Super built-up  Area,Ready To Move,Yelahanka,3,PuziaVe,1614,2,1,100
Built-up  Area,Ready To Move,Magadi Road,2,Jaaveha,600,1,1,22
Super built-up  Area,Ready To Move,Thigalarapalya,3,Prtanha,2072,4,2,155
Super built-up  Area,Ready To Move,Electronic City,4,Itvir M,919,2,2,34
Built-up  Area,Ready To Move,Shettihalli,3,,2100,4,1,90
Built-up  Area,Ready To Move,Shampura,2,,672,3,1,54
Built-up  Area,Ready To Move,J C Nagar,2,,800,6,3,110
Plot  Area,Ready To Move,Marsur,3,AreraRe,1200,3,1,150
Super built-up  Area,Ready To Move,OLd Gurappanapalya,3,SoliaMa,2849,5,,250
Built-up  Area,Ready To Move,Doctors Layout,3,Mavelr ,1000,2,2,42
Super built-up  Area,Ready To Move,Whitefield,3,Prtates,1216,2,1,75
Super built-up  Area,Ready To Move,Lingadheeranahalli,4,Soiewre,2245,4,2,154
Super built-up  Area,18-Feb,Bannerghatta Road,4,Baanise,1476,3,1,125
Super built-up  Area,Ready To Move,Ambedkar Nagar,9,SoechHa,1852,3,2,130
Super built-up  Area,18-Aug,Udaya Nagar,2,,1225,2,2,47
Super built-up  Area,Ready To Move,Panathur,2,Skinaa ,1597,3,1,67.12
Super built-up  Area,19-Dec,Jakkur,3,Ceezey ,2423,4,3,160
Super built-up  Area,19-Mar,Marathahalli,2,PrensKe,1152,2,1,90
Super built-up  Area,Ready To Move,Harlur,3,,1762,3,2,133
Plot  Area,Ready To Move,Kammasandra,1,Daden G,1400,3,2,92
Super built-up  Area,Ready To Move,Rachenahalli,3,Sovar S,1530,2,2,74.4
Plot  Area,Ready To Move,New Thippasandra,2,,2400,6,3,400
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1185,2,2,40.17
Super built-up  Area,18-May,Yelahanka,2,Miitat ,1890,3,2,108
Super built-up  Area,Ready To Move,Varthur Road,2,,1247,2,2,58
Plot  Area,Ready To Move,1st Block Jayanagar,3,,700,4,,104
Plot  Area,Ready To Move,HRBR Layout,2,,1000,6,3,275
Super built-up  Area,Ready To Move,Bellandur,1,,1201,2,2,59.99
Built-up  Area,18-Feb,Gunjur Palya,3,BDectou,830,2,2,40
Built-up  Area,18-Jul,Electronic City Phase II,2,Sryalan,1165,2,1,30.29
Super built-up  Area,Ready To Move,Bommanahalli,1,KancyRe,1100,1,2,55
Built-up  Area,Ready To Move,9th Phase JP Nagar,1,ImiteEl,1890,2,,93
Super built-up  Area,Ready To Move,Maithri Layout,4,ItAnuna,1685,3,2,60
Super built-up  Area,Ready To Move,Sarakki Nagar,5,Sowerew,3131,4,3,349
Super built-up  Area,Ready To Move,Battarahalli,5,,1165,2,1,43
Super built-up  Area,Ready To Move,Kachanayakanahalli,1,ICoolon,827,2,1,45
Plot  Area,Ready To Move,Gangondanahalli,2,,396,2,0,48
Plot  Area,Ready To Move,Uttarahalli,2,,1200,4,3,179
Built-up  Area,Ready To Move,Electronics City Phase 1,3,Prmes H,635,1,0,26
Built-up  Area,Ready To Move,Whitefield,4,Prtates,4000,4,3,380
Super built-up  Area,Ready To Move,Vishwanatha Nagenahalli,2,ShtalCr,1050,2,1,50
Built-up  Area,Ready To Move,D Group Employees Layout,2,,600,4,3,76
Super built-up  Area,22-May,Jakkur,1,,1819.18,3,2,168
Plot  Area,Ready To Move,Kanakapura,3,,1500,3,3,125
Super built-up  Area,Ready To Move,Yelenahalli,2,,1500,2,2,57
Super built-up  Area,Ready To Move,Benson Town,3,Gopus O,2850,4,3,470
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,Elleyt ,1751,3,3,72
Super built-up  Area,18-Jan,Vasanth nagar,3,Prian E,4750,6,1,1102
Super built-up  Area,18-Jun,Bommasandra,1,SSestth,1020,2,1,40.89
Super built-up  Area,Ready To Move,Thanisandra,1,SaSkyBl,1148,2,1,43.5
Super built-up  Area,18-Aug,Talaghattapura,2,Sodgere,1856,3,2,135
Plot  Area,Ready To Move,Basavangudi,5,,1754,6,2,650
Plot  Area,Ready To Move,2nd Block Hrbr Layout,2,,4273,3,,1100
Super built-up  Area,Ready To Move,B Narayanapura,3,,1060,2,1,49.27
Built-up  Area,Ready To Move,Haralur Road,3,,1300,2,2,60
Built-up  Area,Ready To Move,Hormavu,3,,3000,4,0,100
Super built-up  Area,Ready To Move,Bellandur,4,GoncyRe,1325,2,2,65
Super built-up  Area,Ready To Move,Sai Gardens,3,Alivae ,1261,2,2,61
Super built-up  Area,Ready To Move,Manayata Tech Park,2,,1100,2,2,46
Built-up  Area,Ready To Move,Ramamurthy Nagar,1,,700,2,1,33
Super built-up  Area,Ready To Move,7th Phase JP Nagar,4,Eladero,1675,2,2,135
Plot  Area,Ready To Move,Ullal Road,2,,3400,4,2,190
Super built-up  Area,18-Aug,Kodihalli,2,Soianal,3260,5,3,388
Super built-up  Area,Ready To Move,Doddakammanahalli,1,,1180,2,2,56
Built-up  Area,Ready To Move,Uttarahalli,1,Sencys ,1160,2,2,45
Super built-up  Area,Ready To Move,Kasavanhalli,2,,1863,3,2,105
Super built-up  Area,Ready To Move,Sahakara Nagar,6,HoAcela,1914,3,2,149
Super built-up  Area,Ready To Move,BTM Layout,2,C ensnd,1458,3,2,79
Plot  Area,Ready To Move,Thirumenahalli,1,,1200,4,2,115
Built-up  Area,Ready To Move,Babusapalaya,3,,1105,2,1,40
Super built-up  Area,Ready To Move,Hulimavu,3,Vapasrk,3035,5,3,220
Plot  Area,Ready To Move,Bannerghatta Road,4,,1200,6,3,160
Super built-up  Area,Ready To Move,Akshaya Nagar,3,DLhtsnd,1662,3,,90
Super built-up  Area,Ready To Move,Yelahanka,3,PuziaVe,1556,3,2,86
Super built-up  Area,Ready To Move,Jigani,1,DLhtsan,918,2,2,50
Super built-up  Area,Ready To Move,Sarjapur  Road,5,Mades G,1455,2,1,98
Super built-up  Area,Ready To Move,Jakkasandra Extension,3,,1205,2,1,70
Super built-up  Area,Ready To Move,BEML Layout,2,,1194,2,1,65
Plot  Area,Ready To Move,Laggere,3,,1200,2,0,75
Built-up  Area,Ready To Move,Bannerghatta Road,1,Pyvenas,1100,2,2,52
Super built-up  Area,Ready To Move,Sarjapur  Road,3,S2kaaan,1405,3,2,48.87
Super built-up  Area,Ready To Move,Subramanyapura,5,Prldsri,929,2,1,56
Built-up  Area,Ready To Move,Frazer Town,3,Asuilnc,3436,5,,341
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1,,1035,2,1,39.33
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3,,2100,4,3,92
Super built-up  Area,17-Jul,Channasandra,2,Unm 2El,1065,2,1,40.47
Super built-up  Area,22-Dec,Bannerghatta Road,3,PrarePa,1365 - 1700,3,0,84.29
Plot  Area,Ready To Move,Kengeri,3,,1500,6,3,150
Plot  Area,Ready To Move,Hullahalli,2,,1200,5,2,99
Super built-up  Area,18-Apr,Hormavu,3,,1093,2,1,32.78
Built-up  Area,Ready To Move,Anandapura,2,LoLeoen,1250,2,2,45
Super built-up  Area,Ready To Move,Marathahalli,5,Asintas,1680,3,3,105
Super built-up  Area,Ready To Move,Nagarbhavi,3,Shentpa,1146,2,1,50
Super built-up  Area,18-Apr,Jagajyothi layout,3,,1250,2,3,58
Super built-up  Area,17-Oct,Ramagondanahalli,4,ViistLa,1451,3,1,60.44
Super built-up  Area,Ready To Move,Nobo Nagar,3,Elacet ,1424,2,3,55
Super built-up  Area,Ready To Move,Gottigere,2,Krryll ,1435,2,3,62
Super built-up  Area,18-Apr,Devanahalli,3,Sabixtt,658,1,0,26.91
Super built-up  Area,18-Jan,Bommanahalli,2,,1300,3,2,45
Super built-up  Area,Ready To Move,Whitefield,4,FoityIn,1242,2,2,65
Super built-up  Area,Ready To Move,Marathahalli,2,,1910,3,3,119
Super built-up  Area,Ready To Move,Yelahanka,3,PrrloMo,1610,4,2,85
Super built-up  Area,Ready To Move,Hulimavu,2,Reiteee,1127,2,1,65
Super built-up  Area,Ready To Move,Yelahanka,3,,1075,2,1,42
Super built-up  Area,Ready To Move,Mysore Road,3,,1155,2,1,51
Plot  Area,Ready To Move,Lakkasandra Extension,3,,1280,3,1,250
Super built-up  Area,Ready To Move,Krishna Reddy Layout,3,ThntsAp,1250,3,1,55
Plot  Area,18-Mar,Kuvempu Layout,2,LGeete ,2200,4,2,160
Built-up  Area,Ready To Move,Billekahalli,2,,2400,3,1,150
Super built-up  Area,Ready To Move,Chandapura,3,PavesGr,876,2,2,29.5
Super built-up  Area,Ready To Move,Nagarbhavi,2,,1850,2,2,89
Super built-up  Area,18-Apr,Kadugodi,1,Alestrb,1314,2,3,83
Super built-up  Area,20-Aug,Rachenahalli,3,AsNowre,690,1,1,39.8
Built-up  Area,Ready To Move,Electronic City Phase II,2,Shrds O,3500 - 3600,,,167.5
Built-up  Area,Ready To Move,Srirampura,2,HooudSi,1230,2,3,55
Super built-up  Area,18-May,Bommasandra,3,SSestth,920,2,1,37.2
Built-up  Area,Ready To Move,Sarjapur  Road,3,Adeatlm,1850,3,3,140
Super built-up  Area,Ready To Move,Electronic City,4,Goty  E,1073,2,2,60
Super built-up  Area,Ready To Move,Maithri Layout,3,Lalipa ,1540,3,3,76
Super built-up  Area,Ready To Move,Kanakpura Road,4,JRrnauv,1550,3,3,63.5
Super built-up  Area,Ready To Move,Kalyan nagar,3,Satle C,1198,2,1,65
Super built-up  Area,Ready To Move,HBR Layout,4,HMtesle,1656,3,2,90
Super built-up  Area,Ready To Move,Kaveri Nagar,3,Roiti A,1900,3,3,155
Built-up  Area,Ready To Move,Ramagondanahalli,1,DNeremo,1910,3,2,142
Super built-up  Area,Ready To Move,Mysore Road,2,,1003,2,1,43
Built-up  Area,Ready To Move,Chickpet,4,,122Sq. Yards,2,0,48
Super built-up  Area,Ready To Move,Whitefield,3,Sonviik,1495,2,,67
Super built-up  Area,19-Dec,Thanisandra,3,DSity S,2172,3,2,76.02
Plot  Area,Ready To Move,Sarakki Nagar,2,,2400,4,2,358
Plot  Area,Ready To Move,T G extension,4,,1200,1,2,95
Super built-up  Area,Ready To Move,Whitefield,2,DSe 2ie,1548,3,1,65
Plot  Area,18-Mar,2nd Block Koramangala,2,,5400,5,,972
Super built-up  Area,18-Dec,Whitefield,4,Prtates,2830 - 2882,5,0,154.5
Super built-up  Area,18-Jul,Hosur Road,2,PuendWe,1689,3,1,103
Super built-up  Area,Ready To Move,Electronic City Phase II,2,,1031,2,1,53
Super built-up  Area,18-Jul,Bhoganhalli,3,Rosha I,2119,4,2,111
Plot  Area,18-Dec,Whitefield,2,,1200,2,2,46.13
Super built-up  Area,Ready To Move,JCR Layout,3,,1060,2,2,37
Super built-up  Area,Ready To Move,Devi Nagar,2,RMerslu,1100,2,1,61
Plot  Area,Ready To Move,GKW Layout,2,,1350,4,2,225
Plot  Area,Ready To Move,Gandhi Nagar,3,,1050,4,1,80
Super built-up  Area,Ready To Move,Hennur Road,2,Mileeou,1250,2,1,77.88
Super built-up  Area,18-May,8th Block Jayanagar,3,,1100,2,2,110
Plot  Area,18-Aug,Whitefield,1,,1200,2,1,46.13
Super built-up  Area,Ready To Move,Seegehalli,3,,1420,2,2,46
Super built-up  Area,18-Apr,Electronic City,2,GMown E,1500,2,1,78
Built-up  Area,Ready To Move,OLd Gurappanapalya,2,SoliaMa,1942,3,1,155
Super built-up  Area,18-Dec,Haralur Road,2,NDiteio,1985,3,2,130
Super built-up  Area,18-Apr,Sarjapur  Road,3,Kiare S,950,1,0,39.9
Plot  Area,Ready To Move,AMS Layout,1,,1200,4,2,80
Super built-up  Area,Ready To Move,Green Glen Layout,4,Solia D,1752,3,2,105
Plot  Area,Ready To Move,Abbigere,3,,1200,3,2,120
Plot  Area,Ready To Move,Mahalakshmi Layout,2,,1200,5,1,200
Super built-up  Area,Ready To Move,Old Madras Road,2,Brglede,1480,2,2,84
Plot  Area,Ready To Move,Jnana Ganga Nagar,4,,600,4,1,81
Super built-up  Area,Ready To Move,Sarjapur  Road,4,Saitya ,1826,3,2,130
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2,,1035,2,1,39.33
Built-up  Area,Ready To Move,Sarjapur  Road,2,Saacesa,2600,4,,98
Built-up  Area,Ready To Move,Kasavanhalli,2,,1667,3,2,92
Super built-up  Area,Ready To Move,Thanisandra,2,Bhmesy ,934,2,2,55
Built-up  Area,Ready To Move,JP Nagar,5,,84.53Sq. Meter,3,1,69.34
Super built-up  Area,Ready To Move,Mahadevpura,3,Neisei ,1620,2,1,76
Super built-up  Area,17-Jun,Electronic City,2,GMown E,1070,2,1,47
Built-up  Area,Ready To Move,Hosur Road,2,,3600,5,3,180
Super built-up  Area,18-Apr,Uttarahalli,2,,1280,2,2,60
Super built-up  Area,Ready To Move,rr nagar,2,,1400,2,2,60
Plot  Area,Ready To Move,Vishveshwarya Layout,3,,1200,8,,180
Built-up  Area,Ready To Move,"Varthur Road, ",3,,1330,2,1,64
Super built-up  Area,19-Dec,Balagere,1,Soresea,1012,2,1,54.59
Super built-up  Area,19-Dec,Electronic City Phase II,2,DSineSt,1611,2,2,48.33
Super built-up  Area,Ready To Move,Whitefield,3,Gamesti,1405,3,2,58
Super built-up  Area,Ready To Move,VGP Layout,2,Vaurtar,1515,3,3,90
Super built-up  Area,Ready To Move,Thigalarapalya,2,Prtanha,1830,4,2,150
Built-up  Area,Ready To Move,Kaggadasapura,4,Omncy R,1710,3,0,60
Built-up  Area,Ready To Move,BTM Layout,2,Varala ,935,2,1,51.5
Super built-up  Area,18-Apr,Jakkur,1,,2197,3,2,136
Plot  Area,Ready To Move,TC Palaya,2,,600,4,0,65
Super built-up  Area,Ready To Move,Yeshwanthpur,1,IBityin,1678,3,,92.13
Built-up  Area,Ready To Move,Brookefield,2,Roeekbl,1410,2,0,80
Super built-up  Area,Ready To Move,Jakkur,1,AvensGa,1125,2,2,65
Super built-up  Area,Ready To Move,Magadi Road,4,Vrenty ,1191,2,1,55.38
Super built-up  Area,Ready To Move,Thubarahalli,5,,1200,2,2,79
Super built-up  Area,Ready To Move,CV Raman Nagar,2,Keera R,1525,2,3,67
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,2,,1464,3,3,56
Super built-up  Area,18-Dec,Seegehalli,2,,920,2,1,27
Built-up  Area,Ready To Move,Yelahanka,4,,651,1,1,17.5
Super built-up  Area,Ready To Move,Chikkabanavar,2,Javasya,600,1,2,25
Super built-up  Area,18-Sep,Chandapura,1,SunceEs,645,1,1,16.45
Super built-up  Area,Ready To Move,Thanisandra,3,MenueNo,1185,2,2,44
Super built-up  Area,18-May,Electronics City Phase 1,3,Shitt S,1190,2,1,68
Plot  Area,Ready To Move,Harohalli,2,,2.09Acres,2,0,200
Super built-up  Area,18-Dec,Whitefield,3,Prtates,2830 - 2882,5,0,158.5
Super built-up  Area,Ready To Move,Whitefield,2,Veale R,1355,2,3,73
Plot  Area,Ready To Move,KR Puram,3,,1200,1,0,65
Plot  Area,Ready To Move,Kundalahalli,3,,7000,4,3,550
Plot  Area,Ready To Move,Ramamurthy Nagar,3,,1200,4,1,110
Super built-up  Area,Ready To Move,Yelahanka New Town,4,KHatsFl,500,2,1,24
Super built-up  Area,Ready To Move,Bommasandra Industrial Area,3,Stkarrd,1250,3,3,50
Built-up  Area,Ready To Move,Uttarahalli,3,,1480,2,1,58
Built-up  Area,Ready To Move,Ambalipura,2,Toeadp ,3300,4,2,329
Super built-up  Area,18-May,KR Puram,2,TGasyhu,1482 - 1684,,,70.445
Super built-up  Area,Ready To Move,Green Woods Layout,3,Paarklu,1206,2,1,53
Super built-up  Area,18-Aug,Rajaji Nagar,3,ProdsWe,1357,2,1,130
Built-up  Area,Ready To Move,Hosakerehalli,2,,925,2,1,46.5
Super built-up  Area,Ready To Move,8th Phase JP Nagar,1,MBodsen,909,2,1,40.9
Plot  Area,Ready To Move,Seegehalli,2,Stndeil,3000,5,2,335
Built-up  Area,Ready To Move,Brookefield,4,Bhiya N,1100,2,1,55
Plot  Area,18-May,Malleshwaram,2,,3000,5,2,815
Super built-up  Area,Ready To Move,Vidyaranyapura,2,,1100,2,1,54
Super built-up  Area,Ready To Move,Subramanyapura,4,Mayne A,975,2,1,65
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1306,2,2,44.17
Plot  Area,Ready To Move,Roopena Agrahara,2,,1200,4,1,95
Super built-up  Area,Ready To Move,Kalena Agrahara,2,MBpleca,610,1,1,39
Super built-up  Area,Ready To Move,Yelahanka,3,Pyikad ,1484,2,2,56.4
Super built-up  Area,17-May,Ramamurthy Nagar,3,Vedhias,1125,2,1,47
Super built-up  Area,18-Jul,Bhoganhalli,3,Rosha I,1447,2,1,75.97
Super built-up  Area,18-Dec,Whitefield,2,Prtates,2882,5,1,158
Plot  Area,Ready To Move,Vidyaranyapura,3,,750,4,0,88
Super built-up  Area,Ready To Move,Kundalahalli,4,,2075,3,1,115
Built-up  Area,Ready To Move,Stage-4 Bommanahalli,3,Pantsce,1250,2,1,58
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2,,1272,2,2,51.5
Plot  Area,Ready To Move,Banashankari Stage II,1,,1050,3,2,125
Super built-up  Area,18-Aug,Venkateshpuram,3,,625,2,1,24
Built-up  Area,Ready To Move,1st Phase JP Nagar,2,Opamaan,840,2,2,50
Super built-up  Area,Ready To Move,Hennur Road,1,Samittv,2502,4,2,180
Super built-up  Area,Ready To Move,Rayasandra,1,MJeusyl,583,1,1,26.9
Super built-up  Area,18-Dec,Gunjur Palya,1,,900,2,1,27
Super built-up  Area,Ready To Move,Sarjapur  Road,2,,1115,2,2,50
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,4,,1464,2,2,56
Built-up  Area,18-Mar,Kanakapura,5,,2200,3,1,121
Super built-up  Area,19-Dec,Whitefield,2,Oreldhi,750,1,1,51
Super built-up  Area,Ready To Move,Marathahalli,4,Afncyad,1600,3,3,58
Super built-up  Area,Ready To Move,Chikkalasandra,1,SLarei ,1365,2,2,49
Built-up  Area,21-Dec,"Judicial Layout, Kanakapura Road, ",3,,1300,3,2,64
Built-up  Area,Ready To Move,Kurubarahalli,2,,1200,1,0,69
Super built-up  Area,Ready To Move,Hormavu,1,ARaveSa,1260,2,2,35
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,Sarlsm ,1190,2,2,33.92
Super built-up  Area,Ready To Move,Hosakerehalli,3,Taonte ,2480,4,1,260
Super built-up  Area,18-May,Vishwapriya Layout,2,,1250,3,2,38
Built-up  Area,Ready To Move,Kaggadasapura,3,,1500,3,0,75
